,airmass_relative,airmass_absolute,ghi,dni,dhi,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,sunrise,sunset,transit
2022-10-06 05:00:00+05:00,,,0.0,0.0,0.0,96.8536413563223,96.8536413563223,-6.853641356322295,-6.853641356322295,269.186724495615,11.729793457758205,2022-10-06 16:53:51.803688+05:00,2022-10-07 04:27:13.355940+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 06:00:00+05:00,,,0.0,0.0,0.0,108.29699038317418,108.29699038317418,-18.29699038317418,-18.29699038317418,279.05472737383394,11.742214553356462,2022-10-06 16:53:51.805454+05:00,2022-10-07 04:27:13.256869+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 07:00:00+05:00,,,0.0,0.0,0.0,119.40626015241489,119.40626015241489,-29.40626015241488,-29.40626015241488,290.0139663823169,11.75462495101965,2022-10-06 16:53:51.807240+05:00,2022-10-07 04:27:13.261218+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 08:00:00+05:00,,,0.0,0.0,0.0,129.67603434609177,129.67603434609177,-39.67603434609177,-39.67603434609177,303.2455605534594,11.767024622648023,2022-10-06 16:53:51.809046+05:00,2022-10-07 04:27:13.265532+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 09:00:00+05:00,,,0.0,0.0,0.0,138.26626402586268,138.26626402586268,-48.26626402586268,-48.26626402586268,320.32704982016213,11.77941354062932,2022-10-06 16:53:51.810860+05:00,2022-10-07 04:27:13.269832+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 10:00:00+05:00,,,0.0,0.0,0.0,143.8102832167611,143.8102832167611,-53.8102832167611,-53.8102832167611,342.5279322561927,11.791791677205765,2022-10-06 16:53:51.812692+05:00,2022-10-07 04:27:13.274118+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 11:00:00+05:00,,,0.0,0.0,0.0,144.7632168130729,144.7632168130729,-54.76321681307289,-54.76321681307289,8.218815494872274,11.804159004212124,2022-10-06 16:53:51.814528+05:00,2022-10-07 04:27:13.278399+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 12:00:00+05:00,,,0.0,0.0,0.0,140.7800621335998,140.7800621335998,-50.78006213359983,-50.78006213359983,32.16407254369335,11.816515493912448,2022-10-06 16:53:51.816366+05:00,2022-10-07 04:27:13.282686+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 13:00:00+05:00,,,0.0,0.0,0.0,133.14106058017248,133.14106058017248,-43.14106058017248,-43.14106058017248,51.0879759870445,11.828861118505301,2022-10-06 16:53:51.818190+05:00,2022-10-07 04:27:13.286984+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 14:00:00+05:00,,,0.0,0.0,0.0,123.38103262832203,123.38103262832203,-33.38103262832204,-33.38103262832204,65.56135511900845,11.841195849716314,2022-10-06 16:53:51.820011+05:00,2022-10-07 04:27:13.291302+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 15:00:00+05:00,,,0.0,0.0,0.0,112.52383022171907,112.52383022171907,-22.523830221719066,-22.523830221719066,77.2182785207616,11.8535196597295,2022-10-06 16:53:51.821816+05:00,2022-10-07 04:27:13.295648+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 16:00:00+05:00,,,0.0,0.0,0.0,101.17428317963207,101.17428317963207,-11.174283179632075,-11.174283179632075,87.39348744439485,11.865832520641561,2022-10-06 16:53:51.823603+05:00,2022-10-07 04:27:13.300025+05:00,2022-10-06 22:40:51.352054+05:00
2022-10-06 17:00:00+05:00,29.434417108300032,26.864248566616908,0.24437414529306403,3.385536682960388,0.20451461901315054,89.3254140754164,89.73069326792518,0.6745859245835908,0.26930673207482175,97.05941650782756,11.878134404112643,2022-10-07 16:54:52.271674+05:00,2022-10-07 04:27:13.304434+05:00,2022-10-06 22:40:51.352054+05:00
